20.0,11.0,0.011,-20.0,-4.0
25.0,93.0,0.093,-15.0,-3.0
30.0,162.0,0.162,-10.0,-2.0
35.0,178.0,0.178,-5.0,-1.0
40.0,176.0,0.176,0.0,0.0
45.0,132.0,0.132,5.0,1.0
50.0,101.0,0.101,10.0,2.0
55.0,67.0,0.067,15.0,3.0
60.0,40.0,0.04,20.0,4.0
65.0,24.0,0.024,25.0,5.0
70.0,12.0,0.012,30.0,6.0
75.0,3.0,0.003,35.0,7.0
80.0,1.0,0.001,40.0,8.0
